"State","County","lon","lat"
"AR","Washington County",-94.1513764,35.9307703
"AR","Benton County",-94.479976,36.2661518
"AZ","Maricopa County",-112.4291464,33.2917968
"AZ","Yavapai County",-112.4291464,34.6463981
"CO","Jefferson County",-105.2662931,39.5800298
"CO","Arapahoe County",-104.332644,39.62031
"IA","Cerro Gordo County",-93.2029675,43.1543186
"LA","West Baton Rouge Parish",-91.3276422,30.4751202
"MA","Essex County",-70.9071236,42.7051144
"MA","Bristol County",-71.1448516,41.7938406
"MS","Yalobusha County",-89.6759101,33.9768292
"NM","Curry County",-103.2663479,34.5751567
"NM","Rio Arriba County",-106.7234639,36.6162892
"OK","Rogers County",-95.6457951,36.3898068
"OK","Cleveland County",-97.3516558,35.254964
"OK","McClain County",-97.4814163,35.0282316
"OK","Oklahoma County",-97.3516558,35.6038323
"TX","Fort Bend County",-95.8142885,29.5692614
"TX","Montgomery County",-95.4777811,30.3213482
"TX","McLennan County",-97.179026,31.5182285
"VA","Dinwiddie County",-77.6536125,37.0769043
"AR","Little River County",-94.19234,33.6808926
"AZ","Coconino County",-111.4752851,35.6647545
"IA","Kossuth County",-94.2333355,43.2513384
"LA","Caddo Parish",-93.8655303,32.6136798
"MA","Plymouth County",-70.7168469,41.9120406
"MA","Worcester County",-71.8571331,42.4096528
"MI","Genesee County",-83.6773928,43.0777289
"MN","Hennepin County",-93.5094574,45.0208911
"NC","Wake County",-78.5660852,35.8031909
"OK","Tulsa County",-95.940971,36.1593471
"OK","Canadian County",-98.0465185,35.5593784
"SC","Orangeburg County",-81.0754657,33.5635155
"TN","Hamilton County",-85.1479364,35.1618966
"TX","Taylor County",-99.8124935,32.2455088
"TX","Cass County",-94.315422,33.0944342
"TX","Dallas County",-96.8350999,32.8024682
"TX","Harris County",-95.3102505,29.7751825
"TX","Harrison County",-94.315422,32.5539228
"WI","Dane County",-89.5497632,43.0186073
"FL","Hillsborough County",-82.3017728,27.9903597
"IA","Linn County",-91.6760691,42.0659844
"NM","Bernalillo County",-106.6291304,35.0177854
"TX","Galveston County",-94.8520636,29.3763499
"TX","Williamson County",-97.6982272,30.7591685
"AZ","Pinal County",-111.2845025,32.8162061
"NC","Gaston County",-81.2078164,35.2895651
"TX","Wise County",-97.6982272,33.2895861
"TX","Denton County",-97.179026,33.1418611
"TX","Gregg County",-94.8520636,32.4892547
"TX","Bowie County",-94.479976,33.4473287
"VA","Spotsylvania County",-77.6077865,38.204165
"WI","Richland County",-90.3748354,43.4060497
"TX","Travis County",-97.6982272,30.2097015
"AZ","Pima County",-111.6660725,32.057499
"MA","Norfolk County",-71.1448516,42.17668
"IA","Hardin County",-93.1779659,42.4285425
"NC","Cleveland County",-81.6035062,35.361354
"TX","Burnet County",-98.2212979,30.7270349
"CO","Boulder County",-105.5005483,40.1512114
"IA","Chickasaw County",-92.3813621,43.0724667
"AR","Miller County",-93.8655303,33.3335556
"MA","Suffolk County",-71.0504229,42.3522866
"TX","Collin County",-96.4929797,33.1795213
"CO","Broomfield County",-105.0866504,39.9205411
"IA","Mitchell County",-92.8577105,43.3710702
"TX","Tarrant County",-97.3516558,32.7732044
"AR","Pulaski County",-92.2236667,34.7538615
"MN","Chisago County",-92.9550305,45.524828
"MI","Kent County",-85.520024,43.0097027
"OK","Washington County",-95.940971,36.6770984
"TX","Comal County",-98.2212979,29.8105572
"OK","Payne County",-97.0068393,36.1449988
"VA","Prince William County",-77.6077865,38.7838939
"NC","Alamance County",-79.4253776,36.0117388
"MN","Anoka County",-93.2197005,45.3292832
"AR","Lonoke County",-91.9099238,34.7591647
"CA","Imperial County",-115.4733554,33.0113694
"AR","Baxter County",-92.3813621,36.3261815
"GA","Lowndes County",-83.2934086,30.8600022
"AR","Faulkner County",-92.3813621,35.1035858
"NC","Orange County",-79.1096901,36.0263022
"NC","Durham County",-78.9031279,36.0221805
"NC","Union County",-80.543845,34.9338651
"NC","Rowan County",-80.543845,35.6303455
"AR","Johnson County",-93.5003454,35.6026275
"NC","Buncombe County",-82.4752757,35.5931377
"NC","Johnston County",-78.3842227,35.4403514
"NC","Cumberland County",-78.7476208,34.9542604
"NC","Henderson County",-82.4319405,35.3725873
"VA","Prince Edward County",-78.4297187,37.1982888
"NC","Watauga County",-81.734942,36.1941825
"NC","Pitt County",-77.4242972,35.5589221
"NC","Catawba County",-81.2518833,35.6840748
"NC","Lenoir County",-77.6077865,35.2326725
"NC","Carteret County",-76.5488232,34.9019263
"NC","Lee County",-79.1548533,35.4693744
"NC","Iredell County",-80.8986502,35.8310501
"TX","Wharton County",-96.1526985,29.3690932
"VA","Pittsylvania County",-79.4703885,36.7440186
"VA","Franklin County",-79.8296743,36.9458815
"NC","Wayne County",-77.973865,35.3565499
"NC","Guilford County",-79.8296743,36.0899873
"NC","Davidson County",-80.1875065,35.7748479
"NC","Forsyth County",-80.1875065,36.1200003
"NC","Edgecombe County",-77.6536125,35.8840053
"VA","Bedford County",-79.4703885,37.2538794
"NC","Person County",-78.9288242,36.3528221
"VA","Campbell County",-79.1096901,37.221014
"NC","Vance County",-78.4297187,36.3479057
"NC","New Hanover County",-77.8824596,34.2154913
"VA","Nottoway County",-78.0195387,37.1148487
"TX","Somervell County",-97.7416703,32.2547696
"VA","Charlotte County",-78.6114999,37.0467412
"WI","Winnebago County",-88.7108964,44.0126679
"IA","Winnebago County",-93.6623239,43.3481922
"NC","Richmond County",-79.7848422,35.003045
"WI","Outagamie County",-88.4016041,44.4636545
"AR","Bradley County",-92.2236667,33.5081368
"NC","Moore County",-79.4703885,35.3674493
"WI","Waupaca County",-89.0179332,44.4705941
"MI","Wayne County",-83.336188,42.2790746
"SD","Moody County",-96.663812,43.9779303
"WI","Waushara County",-89.2086773,44.1313128
"GA","Dougherty County",-84.2278796,31.5439375
"NE","Gage County",-96.663812,40.1989041
"MO","Christian County",-93.1779659,36.997644
"NC","Halifax County",-77.6077865,36.2646764
"VA","Lunenburg County",-78.2476146,36.9261435
"TX","Walker County",-95.6457951,30.6815394
"ND","Burleigh County",-100.5049676,47.0448552
"IA","Worth County",-93.3388917,43.3580686
"MN","Dakota County",-93.1779659,44.731554
"MN","Pine County",-92.8070708,46.0983087
"TX","Hidalgo County",-98.2212979,26.4656319
"MN","Washington County",-92.8577105,44.8896877
"WI","Pierce County",-92.3813621,44.7508921
"AK","Nome Census Area",-164.2566019,64.8329974
"MN","Scott County",-93.5407909,44.6834072
"MN","St. Louis County",-92.3623921,47.7395106
"MN","Sherburne County",-93.7298983,45.4644612
"MN","Ramsey County",-93.0615978,44.9963986
"WV","Pendleton County",-79.2902133,38.7451767
"IA","Greene County",-94.479976,42.0700527
"IA","Floyd County",-92.8577105,43.0615947
"MO","Greene County",-93.5003454,37.3311215
"NC","Cabarrus County",-80.5882803,35.4168123
"TX","Reeves County",-103.7289167,31.4307975
"NM","Socorro County",-106.7234639,33.8837087
"TX","Lubbock County",-101.7979613,33.6753624
"NC","Mecklenburg County",-80.8543847,35.2632655
"NC","Brunswick County",-78.2020387,34.0275398
"NC","Pasquotank County",-76.317414,36.2927068
"MO","McDonald County",-94.315422,36.617812
"WI","Eau Claire County",-91.2891036,44.7683909
"GA","Decatur County",-84.5222189,30.8720058
"SD","Kingsbury County",-97.5247243,44.3777311
"CO","Weld County",-104.7158226,40.3920718
"WI","Green Lake County",-89.0179332,43.863117
"CA","San Diego County",-117.1610966,32.7157305
"WI","Milwaukee County",-87.9065334,43.0387949
"OH","Montgomery County",-84.3542049,39.7620028
"MO","Jasper County",-94.356513,37.1745565
"NC","Wilson County",-77.8824596,35.6925497
"SD","Hyde County",-99.456155,44.5334083
"CA","Orange County",-117.8311428,33.7174708
"MI","Livingston County",-83.8473015,42.6207951
"MN","Mille Lacs County",-93.6218744,45.9228403
"IA","Howard County",-92.3813621,43.3819496
"GA","Carroll County",-85.0649071,33.5642239
"GA","Haralson County",-85.1900684,33.8021715
"IL","Kane County",-88.4016041,41.987884
"VA","Wise County",-82.605118,37.0240877
"IL","Cook County",-87.697554,41.7376587
"AZ","Mohave County",-113.7632828,35.2143346
"GA","Floyd County",-85.2308414,34.2828967
"HI","Honolulu County",-157.8584319,21.3069857
"IL","DuPage County",-88.0900762,41.8243831
"MO","Jackson County",-94.315422,38.9914998
"WV","Randolph County",-80.0087746,38.8092552
"IA","Madison County",-93.9878427,41.2922367
"MO","Clay County",-94.479976,39.3176186
"IL","Lake County",-87.8271534,42.3689363
"UT","Salt Lake County",-111.9522491,40.644188
"SD","Jones County",-100.7097867,43.9715804
"LA","Madison Parish",-91.2891036,32.4401578
"MI","Jackson County",-84.3542049,42.1764362
"SD","Aurora County",-98.5721016,43.6983477
"IL","McHenry County",-88.4016041,42.3039993
"KS","Johnson County",-94.8520636,38.845412
"KS","Shawnee County",-95.8142885,39.0928449
"OH","Allen County",-84.1435136,40.769946
"OH","Hardin County",-83.6773928,40.704961
"WV","Mason County",-81.9971108,38.7553693
"AR","Pope County",-93.0175712,35.440627
"VA","Fairfax County",-77.2405153,38.9085472
"UT","Utah County",-111.5706786,40.0966287
"KS","Douglas County",-95.2684437,38.9107835
"KS","Reno County",-98.0465185,37.9569553
"MO","Webster County",-92.8577105,37.3483339
"NC","Scotland County",-79.4703885,34.8451203
"NY","Monroe County",-77.7452081,43.2841246
"TX","Randall County",-101.7979613,34.9020377
"NC","Caldwell County",-81.5596427,35.9227448
"MN","Renville County",-94.976654,44.6674445
"TX","Hood County",-97.8286368,32.4296296
"TX","Bexar County",-98.5721016,29.4200763
"WY","Laramie County",-104.8454619,41.4269559
"OH","Logan County",-83.8473015,40.3899679
"CO","El Paso County",-104.4723301,38.9108325
"TX","Medina County",-99.0128926,29.2987871
"MI","Oakland County",-83.336188,42.5921924
"SD","Lyman County",-99.8124935,43.9016694
"TX","Hays County",-98.0028892,30.0537607
"TX","Bastrop County",-97.3516558,30.0458708
"GA","Fulton County",-84.3962535,33.8033965
"SD","Beadle County",-98.2212979,44.4797351
"LA","Livingston Parish",-90.6773046,30.4340146
"SD","Buffalo County",-99.2785583,44.0976225
"SD","Brown County",-98.2542652,45.7581522
"WI","Bayfield County",-91.1222007,46.6650481
"OH","Auglaize County",-84.3542049,40.5781556
"AL","Lee County",-85.3962769,32.5888702
"TN","Putnam County",-85.4788065,36.134602
"TN","Hamblen County",-83.2934086,36.2054334
"GA","Spalding County",-84.3121264,33.2636732
"IA","Franklin County",-93.3388917,42.7372361
"SD","Dewey County",-100.7110465,45.2486497
"SD","Perkins County",-102.3224308,45.3888403
"SD","Meade County",-102.6855069,44.4415188
"TX","Polk County",-94.8105955,30.7150882
"TX","Nacogdoches County",-94.645035,31.6353071
"MA","Middlesex County",-71.2874209,42.467206
"SD","Todd County",-100.7097867,43.2115664
"TX","Potter County",-101.9804613,35.404373
"IN","La Porte County",-86.8220341,41.4775131
"NY","Cayuga County",-76.5488232,42.7655231
"VA","Loudoun County",-77.6536125,39.076767
"IA","Boone County",-93.9878427,42.0881747
"KY","Mercer County",-84.8984775,37.8258603
"TN","Blount County",-83.8473015,35.6710541
"GA","Meriwether County",-84.6897495,33.0561282
"MI","Macomb County",-82.820974,42.7168759
"MI","Berrien County",-86.7416374,42.0320742
"NE","Douglas County",-96.195132,41.3148116
"GA","Fannin County",-84.2278796,34.8580405
"GA","Monroe County",-83.8897057,32.9746846
"TX","Rockwall County",-96.365157,32.8721646
"TX","Hopkins County",-95.4777811,33.2282942
"GA","Dodge County",-83.2077645,32.1287268
"CA","Los Angeles County",-118.2436596,34.0522265
"GA","Towns County",-83.7199136,34.9208214
"MI","Ottawa County",-86.0937312,42.953023
"WA","Benton County",-119.5021582,46.3166362
"WV","Kanawha County",-81.4278984,38.2556905
"FL","Duval County",-81.6035062,30.3500511
"FL","Clay County",-81.7787021,29.9943564
"OH","Warren County",-84.1857115,39.4241422
"TN","Bradley County",-84.8567932,35.1937778
"UT","Weber County",-111.9522491,41.2602635
"GA","Union County",-83.9744262,34.8457601
"GA","Jefferson County",-82.4319405,33.0740753
"NC","Rutherford County",-81.909826,35.4258737
"FL","Columbia County",-82.605118,30.1812696
"IA","Calhoun County",-94.645035,42.3785903
"LA","East Feliciana Parish",-91.0203224,30.8458948
"NY","Saratoga County",-73.9359821,43.0324245
"TX","Ellis County",-96.8350999,32.2619765
"CA","Yolo County",-121.9017954,38.7646021
"CO","Adams County",-104.1930918,39.8398269
"KY","Hardin County",-86.0121573,37.6565708
"NY","St. Lawrence County",-74.930206,44.4473142
"OH","Butler County",-84.5222189,39.440463
"SD","Jerauld County",-98.6160674,44.0364698
"TN","Monroe County",-84.2278796,35.471793
"FL","Pinellas County",-82.7778579,27.876394
"GA","Upson County",-84.3121264,32.9047684
"OH","Hamilton County",-84.564147,39.2355447
"TX","Tom Green County",-100.439656,31.3839017
"CT","New Haven County",-72.8042797,41.3266911
"FL","Pasco County",-82.4319405,28.3232418
"MO","St. Louis County",-90.4125181,38.6103023
"TX","Eastland County",-98.7481167,32.3240465
"WA","King County",-121.9836029,47.5480339
"CT","Fairfield County",-73.3708696,41.2559654
"FL","Osceola County",-81.0754657,28.1019838
"FL","Orange County",-81.2518833,28.4844995
"VA","York County",-76.3868797,37.2103925
"GA","Laurens County",-82.9931607,32.433014
"NY","Oneida County",-75.4344727,43.2371798
"OK","Wagoner County",-95.5197394,35.9192397
"TX","Johnson County",-97.3516558,32.4133566
"TN","Hawkins County",-82.9501558,36.4445545
"FL","Putnam County",-81.7787021,29.6265157
"IL","Ogle County",-89.3226954,41.9969811
"OK","McIntosh County",-95.6457951,35.3466151
"NC","Rockingham County",-79.8296743,36.4335041
"OH","Cuyahoga County",-81.67582,41.433923
"KY","Warren County",-86.4996546,36.9886043
"LA","Calcasieu Parish",-93.3388917,30.2089286
"OH","Licking County",-82.4752757,40.1460895
"SD","Bennett County",-101.6157773,43.1223577
"KY","Logan County",-86.8621827,36.869834
"SD","Sanborn County",-98.0465185,44.0403291
"VA","Rockingham County",-78.8835548,38.5825919
"GA","Cobb County",-84.564147,33.8999297
"NY","Jefferson County",-75.9927652,44.0607421
"TN","DeKalb County",-85.80766,35.9728357
"AR","Sebastian County",-94.315422,35.2260397
"KS","Geary County",-96.7922355,38.9984685
"NH","Carroll County",-71.2506067,43.8128209
"KY","Madison County",-84.3121264,37.7143001
"FL","Alachua County",-82.3017728,29.6579549
"IL","Whiteside County",-89.8505012,41.7605503
"MT","Ravalli County",-114.1817424,46.0174639
"NC","Jackson County",-83.1220074,35.3265409
"NY","Onondaga County",-76.1783739,43.026819
"OK","Beckham County",-99.634135,35.2687266
"OK","Garfield County",-97.87216,36.4361392
"OK","Comanche County",-98.3964938,34.6612778
"OK","Pottawatomie County",-97.0068393,35.275439
"FL","Volusia County",-81.0754657,29.0279842
"NE","Dakota County",-96.5356449,42.4040965
"NE","Sarpy County",-96.195132,41.0744042
"NC","Swain County",-83.4643551,35.4328955
"FL","Leon County",-84.1857115,30.4906177
"IN","Sullivan County",-87.4207518,39.0843122
"NY","Westchester County",-73.7948516,41.1220194
"IA","Pottawattamie County",-95.4777811,41.3911501
"IL","Randolph County",-89.7755338,38.0629321
"NC","Alexander County",-81.2078164,35.8974199
"NC","Macon County",-83.336188,35.1197519
"OK","Creek County",-96.3226072,35.8362494
"KY","Harlan County",-83.2077645,36.8890304
"NC","Robeson County",-79.1096901,34.6383858
"FL","St. Johns County",-81.4278984,29.9719419
"HI","Hawaii County",-155.6658568,19.5429151
"NC","Transylvania County",-82.7778579,35.2190534
"ND","Cass County",-97.1215579,47.071168
"OK","Delaware County",-94.8105955,36.4263135
"SC","Georgetown County",-79.2902133,33.4213399
"SC","Florence County",-79.6502105,33.9828684
"KY","Nelson County",-85.4788065,37.7647455
"KY","Larue County",-85.7256372,37.5189552
"CA","Riverside County",-117.3961192,33.9532966
"IA","Dallas County",-93.9878427,41.6120022
"GA","Pierce County",-82.1713632,31.343806
"GA","Ware County",-82.4752757,31.134411
"MD","Montgomery County",-77.2405153,39.1547426
"MO","Boone County",-92.3813621,39.0468547
"TX","Nueces County",-97.4814163,27.7693351
"VA","Halifax County",-78.9288242,36.6945049
"GA","Bacon County",-82.4319405,31.5412085
"GA","Brantley County",-81.9971108,31.1510963
"MD","Anne Arundel County",-76.5488232,38.9530109
"IN","Lake County",-87.3016132,41.4897279
"IN","Porter County",-87.1023746,41.5248577
"GA","Gordon County",-84.8567932,34.4891699
"TX","Kaufman County",-96.3089299,32.5889211
"GA","Bartow County",-84.8150781,34.2660473
"IN","Knox County",-87.4207518,38.6665815
"HI","Maui County",-156.3319253,20.7983626
"IL","Champaign County",-88.2461183,40.2138865
"NY","Albany County",-73.9359821,42.5756797
"NY","Rensselaer County",-73.5594128,42.673664
"AR","Crawford County",-94.315422,35.5762761
"NY","Salem County",-73.5719051,41.3350356
"DE","Sussex County",-75.4344727,38.6530841
"NC","Wilkes County",-81.2518833,36.202858
"KS","Stafford County",-98.7481167,38.0749046
"MD","Caroline County",-75.8533954,38.9105018
"TN","Pickett County",-85.1479364,36.5541091
"TX","Hale County",-101.8891721,34.1064941
"TN","White County",-85.520024,35.9189882
"GA","Henry County",-84.1435136,33.4347963
"NC","Hoke County",-79.2451149,35.0432488
"WA","Clark County",-122.5194378,45.7466471
"OK","Mayes County",-95.3102505,36.2322429
"MD","Harford County",-76.3637285,39.5838964
"OR","Clackamas County",-122.1188945,45.2023855
"GA","Whitfield County",-84.981754,34.8033566
"KY","Simpson County",-86.6207943,36.7772014
"KY","Butler County",-86.7013894,37.2086395
"GA","Fayette County",-84.4802606,33.4502206
"MD","Baltimore County",-76.7336521,39.4647665
"GA","Gwinnett County",-84.0167423,33.9190653
"NC","Ashe County",-81.4718387,36.4339674
"GA","Murray County",-84.7315563,34.7928029
"GA","Polk County",-85.1479364,34.0132398
"OR","Multnomah County",-122.5863212,45.5145659
"IL","De Witt County",-88.90306,40.1810363
"PA","Wyoming County",-76.0391909,41.5004703
"PA","Luzerne County",-75.9927652,41.1404353
"TN","Sevier County",-83.5070203,35.8271682
"IL","Ford County",-88.2071598,40.4988592
"OR","Columbia County",-123.0357231,45.9197103
"SD","Mellette County",-100.7097867,43.5169738
"AL","Barbour County",-85.354965,31.8172896
"AL","Geneva County",-85.684578,31.0990456
"TN","Warren County",-85.80766,35.7115652
"KS","McPherson County",-97.6982272,38.3164433
"TX","Brazos County",-96.3226072,30.6504141
"NJ","Somerset County",-74.6400432,40.5292099
"KY","Hart County",-85.8486236,37.3101304
"GA","Bleckley County",-83.3789389,32.4087854
"TX","Floyd County",-101.2523792,34.0791533
"TX","Atascosa County",-98.5721016,28.8661281
"IL","Jackson County",-89.3226954,37.7218304
"SC","Charleston County",-79.7848422,32.7956561
"NJ","Ocean County",-74.3118212,39.9652553
"LA","Rapides Parish",-92.539603,31.1461104
"MO","Lawrence County",-93.8248241,37.1500679
"MD","Dorchester County",-76.1783739,38.4152819
"TX","Brazoria County",-95.4777811,29.2131857
"OR","Washington County",-123.1386021,45.5469616
"VA","Orange County",-77.973865,38.2426674
"KS","Riley County",-96.8350999,39.3686475
"LA","St. Martin Parish",-91.7538817,30.2395901
"FL","Miami-Dade County",-80.6326916,25.5516034
"NY","Clinton County",-73.6005824,44.7904203
"MI","Grand Traverse County",-85.520024,44.687984
"FL","Palm Beach County",-80.2767327,26.6514503
"KY","Barren County",-85.8486236,36.9676836
"PA","Allegheny County",-80.0087746,40.4450813
"CO","Douglas County",-104.9388853,39.2587106
"GA","Muscogee County",-84.8984775,32.4794133
"WA","Spokane County",-117.4225481,47.658693
"FL","Broward County",-80.365865,26.190096
"IN","Elkhart County",-85.8486236,41.6062253
"PA","Washington County",-80.1875065,40.1367719
"UT","Washington County",-113.4776098,37.3224877
"MI","St. Joseph County",-85.520024,41.9118044
"SC","Newberry County",-81.6035062,34.309094
"FL","Martin County",-80.4103957,27.0804935
"FL","Sumter County",-82.0842901,28.6747526
"IL","Livingston County",-88.556531,40.8688604
"LA","East Baton Rouge Parish",-91.09694,30.5693593
"MI","Allegan County",-85.9084434,42.5938744
"NC","Nash County",-77.973865,35.9597948
"OH","Putnam County",-84.1857115,41.0540759
"VA","Chesterfield County",-77.6077865,37.3673217
"GA","Forsyth County",-84.1435136,34.2358502
"NJ","Monmouth County",-74.123996,40.2589455
"VA","Stafford County",-77.4242972,38.4334566
"OH","Clermont County",-84.1857115,39.0928449
"VA","Southampton County",-77.1024902,36.6788512
"FL","Hernando County",-82.4752757,28.5578826
"NC","Burke County",-81.734942,35.7616931
"MD","Prince George's County",-76.8720961,38.7849211
"MI","Antrim County",-85.1769095,44.9730441
"MO","Platte County",-94.7691586,39.3475649
"FL","Collier County",-81.4278984,26.069985
"FL","Lee County",-81.9534815,26.6630286
"FL","Bay County",-85.684578,30.1805306
"LA","Lafayette Parish",-92.027319,30.1895142
"TN","Weakley County",-88.7108964,36.3428865
"AR","Garland County",-93.1779659,34.5559285
"FL","Indian River County",-80.543845,27.6947732
"OK","Grady County",-97.87216,35.0472662
"FL","Marion County",-82.12784,29.2787765
"MI","Leelanau County",-86.0733634,45.0821226
"FL","St. Lucie County",-80.543845,27.3225563
"KY","Grayson County",-86.3782198,37.4554962
"PA","Schuylkill County",-76.1783739,40.6873058
"CA","Merced County",-120.7120023,37.2009788
"MN","Itasca County",-93.5683651,47.5507924
"FL","Seminole County",-81.2078164,28.7131688
"OR","Marion County",-122.5927411,44.8446393
"SD","Corson County",-101.690976,45.7623333
"TN","Madison County",-88.864698,35.6479574
"FL","Charlotte County",-81.909826,26.8946009
"MD","Baltimore City",-76.6121893,39.2903848
"FL","Citrus County",-82.5185837,28.8848842
"NV","Clark County",-115.094045,36.0795613
"NY","Cattaraugus County",-78.7476208,42.2318132
"NY","Nassau County",-73.5594128,40.6546145
"MI","Kalamazoo County",-85.520024,42.2278346
"NJ","Hunterdon County",-74.9208772,40.5669515
"NY","Kings County",-73.9441579,40.6781784
"CO","Fremont County",-105.5005483,38.5306514
"CO","Summit County",-106.0640179,39.5911871
"CO","Pueblo County",-104.4723301,38.2528534
"CO","Teller County",-105.1726816,38.8611579
"WV","Hancock County",-80.5660657,40.5123559
"TX","San Patricio County",-97.5247243,27.9999695
"MS","Lee County",-88.7108964,34.2354138
"CO","Denver County",-104.9622498,39.7616189
"NM","Santa Fe County",-105.9699878,35.3653705
"VA","Albemarle County",-78.6114999,38.0567092
"WV","Braxton County",-80.7214417,38.7023371
"AK","Anchorage Borough",-149.9002778,61.2180556
"IL","Vermilion County",-87.697554,40.122469
"IN","Tippecanoe County",-86.8220341,40.3469731
"AL","Dale County",-85.684578,31.4645298
"IN","Monroe County",-86.4996546,39.1851445
"MO","Polk County",-93.3388917,37.6766686
"FL","Brevard County",-80.7214417,28.263933
"FL","Sarasota County",-82.345189,27.1995986
"WI","Shawano County",-88.7108964,44.7683909
"KS","Finney County",-100.8903099,38.0625252
"OH","Mahoning County",-80.7214417,40.9871753
"NJ","Morris County",-74.5463282,40.8336038
"FL","Manatee County",-82.345189,27.4799195
"FL","Polk County",-81.6911559,27.8617347
"NC","Avery County",-81.909826,36.1198414
"CO","La Plata County",-107.763621,37.2125857
"FL","Nassau County",-81.8224362,30.5927334
"OK","Pittsburg County",-95.8142885,34.9879281
"TX","Garza County",-101.2523792,33.1955897
"WV","Upshur County",-80.2321313,38.8696797
"IN","Marion County",-86.1751759,39.83619
"IN","Orange County",-86.4996546,38.5169004
"CO","Yuma County",-102.2547919,40.1448234
"IN","Lawrence County",-86.4996546,38.8518863
"IN","Delaware County",-85.3962769,40.2583533
"TN","Rutherford County",-86.3376761,35.7724263
"IN","Hendricks County",-86.5400674,39.8064942
"IN","Blackford County",-85.3136218,40.4992784
"NC","Haywood County",-82.9931607,35.624394
"WV","Harrison County",-80.365865,39.3348126
"IN","Morgan County",-86.3376761,39.5116809
"IN","Hamilton County",-86.0529604,40.0372797
"IN","White County",-86.9824288,40.6765551
"WV","Clay County",-81.1196075,38.4417717
"VA","Warwick County",-76.5419841,37.1298734
"SC","Pickens County",-82.6483442,34.9046217
"SC","Anderson County",-82.6483442,34.5528328
"IA","Butler County",-92.8577105,42.7502186
"NJ","Bergen County",-74.07701,40.9262762
"SC","Oconee County",-82.9931607,34.749245
"TX","Parmer County",-102.7135121,34.4604292
"NY","Schenectady County",-73.9830029,42.8493445
"GA","Tift County",-83.5496566,31.4205597
"SD","Hamlin County",-97.179026,44.6998712
"VA","Alleghany County",-80.0534923,37.8531975
"WV","McDowell County",-81.647344,37.3860467
"ND","Divide County",-103.582951,48.8056154
"WA","Thurston County",-122.7695986,46.8645747
"NY","Orange County",-74.3118212,41.3911653
"SD","Miner County",-97.6982272,44.0643951
"WA","Grays Harbor County",-123.7012468,46.9953526
"AR","Searcy County",-92.6983868,35.9721
"NJ","Essex County",-74.2648829,40.7947466
"MI","Otsego County",-84.6482398,45.0992063
"FL","NULL",-83.9002349,30.4566045
"WV","Lewis County",-80.543845,39.0196167
"WA","Snohomish County",-121.8339472,48.0329979
"IN","Rush County",-85.520024,39.6481768
"FL","Flagler County",-81.2518833,29.4086072
"TN","Davidson County",-86.8220341,36.1342563
"TX","Guadalupe County",-97.87216,29.6477307
"NY","Greene County",-74.123996,42.2957321
"NY","Columbia County",-73.5594128,42.3678759
"FL","Lake County",-81.7787021,28.702847
"WA","Skagit County",-121.7114362,48.4241961
"WV","Wood County",-81.4718387,39.2154345
"WV","Pocahontas County",-80.0087746,38.3101706
"NY","Madison County",-75.8069082,42.9805975
"CA","Fresno County",-119.2320784,36.9858984
